Id,Suburb,Type,Price,Result,Seller,Date,Bedroom,Bathroom,Car,Size,Year Built,Council Area,Latitude,Longtitude,Region Name
1,Abbotsford,House,1035000,Sold,Biggin,2016-02-04,2,1,0,156,1900,Yarra City Council,-37.8079,144.9934,Northern Metropolitan
2,Abbotsford,House,1876000,Sold,Nelson,2016-05-07,4,2,0,245,1910,Yarra City Council,-37.8024,144.9993,Northern Metropolitan
3,Abbotsford,House,1012500,Sold,Nelson,2016-05-28,2,1,0,182,1900,Yarra City Council,-37.8021,144.9976,Northern Metropolitan
4,Abbotsford,House,1600000,Passed In,Nelson,2016-06-04,3,1,2,120,2014,Yarra City Council,-37.8072,144.9941,Northern Metropolitan
5,Abbotsford,House,1100000,Passed In,Biggin,2016-06-18,2,2,1,124,2013,Yarra City Council,-37.8079,144.9977,Northern Metropolitan
6,Abbotsford,House,1200000,Sold,Jellis,2016-07-16,3,2,1,113,1880,Yarra City Council,-37.8056,144.993,Northern Metropolitan
7,Abbotsford,House,1176500,Sold,LITTLE,2016-07-16,2,1,1,138,1890,Yarra City Council,-37.8021,144.9965,Northern Metropolitan
8,Abbotsford,House,1030000,Sold,Biggin,2016-07-30,2,1,1,172,1930,Yarra City Council,-37.8086,144.9946,Northern Metropolitan
9,Abbotsford,House,1447500,Passed In,Nelson,2016-08-22,3,3,1,166,2012,Yarra City Council,-37.8017,145.0001,Northern Metropolitan
10,Abbotsford,House,1135000,Sold,Nelson,2016-08-22,2,2,2,98,1920,Yarra City Council,-37.8005,144.9952,Northern Metropolitan
11,Abbotsford,House,890000,Sold,Biggin,2016-09-17,2,1,1,150,1985,Yarra City Council,-37.8011,145.0004,Northern Metropolitan
12,Abbotsford,House,1636000,Sold,Nelson,2016-10-08,2,1,2,256,1890,Yarra City Council,-37.806,144.9954,Northern Metropolitan
13,Abbotsford,House,1097000,Sold,Biggin,2016-10-08,3,1,2,220,1900,Yarra City Council,-37.801,144.9989,Northern Metropolitan
14,Abbotsford,House,1310000,Sold,Jellis,2016-10-15,2,1,2,238,1890,Yarra City Council,-37.809,144.9976,Northern Metropolitan
15,Abbotsford,House,1350000,Passed In,Nelson,2016-11-12,3,2,2,214,2005,Yarra City Council,-37.8085,144.9964,Northern Metropolitan
16,Abbotsford,House,1315000,Sold,Marshall,2016-11-19,2,1,0,147,1900,Yarra City Council,-37.808,144.994,Northern Metropolitan
17,Abbotsford,House,1180000,Sold,Jellis,2016-11-27,2,1,0,162,1900,Yarra City Council,-37.8016,144.9956,Northern Metropolitan
18,Abbotsford,House,1195000,Sold Prior,Jellis,2016-11-27,3,2,1,120,1998,Yarra City Council,-37.8022,144.9954,Northern Metropolitan
19,Abbotsford,House,1290000,Sold,Biggin,2017-02-25,3,1,1,168,1950,Yarra City Council,-37.8007,144.9958,Northern Metropolitan
20,Abbotsford,House,1465000,Sold Prior,Biggin,2017-03-04,3,2,0,134,1900,Yarra City Council,-37.8093,144.9944,Northern Metropolitan
21,Abbotsford,House,1330000,Passed In,Kay,2017-03-18,4,2,2,780,1900,Yarra City Council,-37.8073,144.9952,Northern Metropolitan
22,Abbotsford,House,1000000,Sold Prior,Biggin,2017-04-08,3,1,0,198,1900,Yarra City Council,-37.8025,144.9939,Northern Metropolitan
23,Abbotsford,House,1050000,Sold,Jellis,2017-04-29,2,1,0,129,1890,Yarra City Council,-37.8099,145.0027,Northern Metropolitan
24,Abbotsford,House,1242000,Sold,Nelson,2017-04-29,2,1,1,249,1940,Yarra City Council,-37.8052,144.9963,Northern Metropolitan
25,Abbotsford,House,1165000,Sold,Jellis,2017-04-29,3,2,0,92,1888,Yarra City Council,-37.797,144.9957,Northern Metropolitan
26,Abbotsford,House,1402500,Sold,Jellis,2017-05-27,3,1,1,270,1960,Yarra City Council,-37.8023,144.99615,Northern Metropolitan
27,Abbotsford,Unit,480000,Sold,hockingstuart,2017-06-17,2,1,1,601,1970,Yarra City Council,-37.80915,145.00066,Northern Metropolitan
28,Abbotsford,Unit,750000,Sold Prior,Jellis,2017-06-17,2,1,1,2379,2013,Yarra City Council,-37.80554,144.99612,Northern Metropolitan
29,Abbotsford,House,855000,Sold,Nelson,2017-06-24,3,2,1,92,2004,Yarra City Council,-37.79683,144.99586,Northern Metropolitan
30,Abbotsford,House,1190000,Sold,Biggin,2017-07-22,2,2,1,147,2000,Yarra City Council,-37.80269,145.0001,Northern Metropolitan
31,Abbotsford,House,1635000,Sold,Nelson,2017-08-12,3,1,0,142,1880,Yarra City Council,-37.80359,144.99538,Northern Metropolitan
32,Abbotsford,House,1000000,Passed In,Biggin,2017-08-19,3,1,2,196,1900,Yarra City Council,-37.80094,144.99569,Northern Metropolitan
33,Abbotsford,House,1240000,Sold,Nelson,2017-10-07,3,1,1,159,1890,Yarra City Council,-37.80124,144.99459,Northern Metropolitan
34,Abbotsford,House,1200000,Sold,Biggin,2017-10-14,2,1,0,135,1890,Yarra City Council,-37.80309,144.99691,Northern Metropolitan
35,Abbotsford,House,1300000,Passed In,Jellis,2017-11-11,2,1,1,113,1900,Yarra City Council,-37.8039,144.9957,Northern Metropolitan
36,Abbotsford,House,955000,Sold,Biggin,2018-02-17,3,2,2,86,2004,Yarra City Council,-37.79686,144.99621,Northern Metropolitan
37,Abbotsford,House,1200000,Sold,Biggin,2018-02-17,3,1,1,211,1970,Yarra City Council,-37.80864,144.99386,Northern Metropolitan
38,Abbotsford,House,1366000,Sold,Jellis,2018-03-17,3,1,2,307,1900,Yarra City Council,-37.80103,144.99929,Northern Metropolitan
39,Aberfeldie,Unit,470000,Sold,Brad,2016-05-07,2,1,1,976,2000,Moonee Valley City Council,-37.7557,144.9037,Western Metropolitan
40,Aberfeldie,House,1350000,Sold,Nelson,2016-05-28,3,2,2,1076,1960,Moonee Valley City Council,-37.7609,144.8905,Western Metropolitan
41,Aberfeldie,House,1740000,Sold,Nelson,2016-06-18,3,3,2,839,1925,Moonee Valley City Council,-37.759,144.9015,Western Metropolitan
42,Aberfeldie,Townhouse,935000,Sold Prior,Nelson,2016-09-10,3,2,2,217,2005,Moonee Valley City Council,-37.7591,144.8923,Western Metropolitan
43,Aberfeldie,House,1190000,Sold,Barry Plant,2016-09-17,3,1,1,465,1950,Moonee Valley City Council,-37.7626,144.8954,Western Metropolitan
44,Aberfeldie,Unit,726000,Sold,Barry Plant,2016-09-24,3,1,1,229,1996,Moonee Valley City Council,-37.7606,144.8973,Western Metropolitan
45,Aberfeldie,House,1346000,Sold,Nelson,2016-10-08,2,2,2,559,1995,Moonee Valley City Council,-37.7614,144.8925,Western Metropolitan
46,Aberfeldie,House,1720000,Passed In,Nelson,2016-10-15,3,2,1,676,1965,Moonee Valley City Council,-37.7632,144.898,Western Metropolitan
47,Aberfeldie,House,1705000,Sold,Nelson,2016-10-15,2,1,2,809,1980,Moonee Valley City Council,-37.7587,144.9015,Western Metropolitan
48,Aberfeldie,House,760000,Sold Prior,McDonald,2016-11-07,3,1,1,321,1940,Moonee Valley City Council,-37.757,144.896,Western Metropolitan
